sr_no,sol_id,acct_name,schm_code,principal_payment_due_date,principal_payment_amount,interest_payment_due_date,primary_manager_id,secondary_manager_id,tertiary_manager_id,cbo_srm_id,credit_admin_manager_id,normal_interest,interest_calc_status,penal_interest,penal_calc_status,processing_status
378985,1165,>Zti@oE::w`5axTdPG5 Dlon,LNECL,,,28-02-2023,NA,129236,269883,8098,390307,0,Done,,pending,Normal_Interest_Is_Zero
379355,1180,"7`iaD""AflsS9c<\VP",LNECL,,,28-02-2023,NA,44367,12781,19721,328527,0,Done,,pending,Normal_Interest_Is_Zero
386655,301,IZno@s c;vaGiK\VP,LNECL,28-02-2023,44440,28-02-2023,178678,137569,145105,32792,32792,6423.92,Done,128.55,Done,Done
378225,1164,@htb3qH:AwMsXHA,LNECL,28-02-2023,361111,28-02-2023,165892,109935,21737,193739,197407,45839.86,Done,,pending,Done
377226,97,7kqr3} dz}:sc:gfO9>VPY|]397EGA7>;G],LNECL,,,28-02-2023,NA,210926,51155,356552,330191,0,Done,,pending,Normal_Interest_Is_Zero
381010,1530,IZheIyRf1R_MhMX^PwB-W8vo+,LNECL,,,28-02-2023,NA,40781,107515,40781,341766,6625.12,Done,84.35,Done,Done
377184,95,C^ih3JH[;vX9h,LNECL,28-02-2023,144444,28-02-2023,NA,361296,33900,148446,378530,21350.13,Done,,pending,Done
376066,46,Iacb7oR:2!`9gIeZP=E,LNECL,,,28-02-2023,NA,159363,152044,43745,43745,0,Done,,pending,Normal_Interest_Is_Zero
377323,1023,"IZtaE""An6RUBYNfeOA7*",LNECL,,,28-02-2023,260541,198204,51305,27770,27770,0,Done,,pending,Normal_Interest_Is_Zero
377233,98,CZnk;~ [4%[HZ<[1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,176188,25416,374147,374147,71986.3,Done,,pending,Done
380722,148,"IbvaDkM:?{O95F\]IwB)Lnko,s0nHA>:+",LNECL,28-02-2023,141945,28-02-2023,43647,8978,151425,70493,70493,20147.27,Done,,pending,Done
376446,60,"9^ptDkL:2~Q7iK\T>DEV)8og,78wJF38:""iZWG7tefL5@@5 Y",LNECL,,,28-02-2023,NA,199796,199796,17897,21123,,pending,,pending,Normal_Interest_Is_Null
376616,69,7gfhDk j.uW5\>f1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,213763,25118,386964,386964,57279.5,Done,,pending,Done
377174,94,9acn6|Ea<*P55@,LNECL,,,28-02-2023,NA,178459,59364,8195,25110,0,Done,,pending,Normal_Interest_Is_Zero
376783,78,"Cnnr3t ^2)O<VGW1Q@3""NY|",LNECL,,,28-02-2023,NA,131553,19575,107299,107299,0,Done,,pending,Normal_Interest_Is_Zero
376343,55,AZkl3}H:6!`9gGTeFG@wO,LNECL,28-02-2023,193555.56,28-02-2023,NA,198031,12324,293291,293291,26941.21,Done,,pending,Done
376954,87,7fkr3t j9s_H^<3ZK<G*Wjs`:,LNECL,,,28-02-2023,NA,141863,261071,347895,347895,36537.67,Done,,pending,Done
376952,87,Id{w;x m={ZB^GZ1MJ;-Dlo;3=1nO=.,LNECL,,,28-02-2023,NA,156591,135227,378924,378924,229852.48,Done,,pending,Done
377325,1023,J^eh@sQo2RUBYNfeOA7*,LNECL,,,28-02-2023,NA,146806,51305,378924,378924,0,Done,,pending,Normal_Interest_Is_Zero
376695,72,"7kiuEJEf2u`FdG\T|K7yXjso@s7yTL/B:""i^bpBtd",LNECL,,,28-02-2023,NA,195824,275975,17897,21123,126695.89,Done,,pending,Done
380857,152,8hob3$ n?sP=c@3TLJB&UY~d6B,LNECL,,,28-02-2023,200832,128598,148597,116665,116665,112006.85,Done,,pending,Done
375266,12,HGBcAw,LNECL,,,28-02-2023,NA,141097,109935,112866,112866,0,Done,,pending,Normal_Interest_Is_Zero
375622,35,"7guuKk n6w,IexccFN3+H8vd4=8j?",LNECL,28-02-2023,236110,28-02-2023,NA,204482,311608,26105,356935,34669.68,Done,,pending,Done
377317,1023,:bra>s c;vaGiK\VP,LNECL,28-02-2023,185555,28-02-2023,NA,198204,51305,27770,27770,31464.46,Done,,pending,Done
386504,2970,HGmNqsN^B&`F^>f,LNECL,28-02-2023,110000,28-02-2023,175236,172357,72221,352799,352799,8567.32,Done,202.56,Done,Done
377255,1007,Iakm>k b6~XG5HYWBJ;%JkJk=HcqO<,LNECL,28-02-2023,284388,28-02-2023,NA,56487,56487,342875,23251,33875.51,Done,,pending,Done
376433,58,"@ZpuEJGf<tM@5MeRA=q'Ua!\;9cqDE3I,F",LNECL,,,28-02-2023,NA,199762,29598,40781,341766,70489.64,Done,,pending,Invalid Customer Id
393240,1394,8acr3~ e6&TCgFT]|K:wK,LNPRT,,,28-02-2023,,,,,,243889.21,Done,0,Done,Cust_Email_Is_Blank
376942,87,C^ehq|Ih4RRCg@X,LNECL,28-02-2023,125000,28-02-2023,NA,198204,295297,378924,378924,16796.51,Done,,pending,Done
397328,1636,"CZjaDkSbA%MsV<TUBEKVR^J`5;-s@=<>5I9..6:uc(T5BE""'5&1w1k+(3bpc.-",LNSTL,28-02-2023,3125000,28-02-2023,NA,271938,85306,44091,37978,183773.83,Done,,pending,Done
392166,3610,MbptFoCbl#M7`:ZZK?,LNPLS,28-02-2023,110000,28-02-2023,NA,95671,8472,102848,102848,29976.6,Done,21.75,Done,Done
377290,1014,Iate7JR[:R[JZKfV>K,LNECL,,,28-02-2023,NA,174526,12725,49678,350703,43730.82,Done,,pending,Done
381200,1530,Jkks:k j<~eDa:fe|HD YY~`f@-rDL/9,LNECL,,,28-02-2023,NA,105093,267280,11836,85163,94096.85,Done,,pending,Done
378240,1164,7luo5sAn2RY5gDXeFF9VD_oi*M,LNECL,28-02-2023,7777.77,28-02-2023,NA,109935,21737,193739,197407,1249.45,Done,,pending,Done
378212,1164,"C9u@BvAmA"",AdN_U|HD YY~`f@-rDL/9",LNECL,28-02-2023,347222,28-02-2023,NA,345087,266574,154495,374839,52654.14,Done,,pending,Done
377161,93,"7igxqtO\l&[@jM\`KwB)Lnko,s0nHA>:+",LNECL,,,28-02-2023,NA,41553,26197,80426,115767,0,Done,,pending,Normal_Interest_Is_Zero
386965,3145,H9o@7xT_?#^=h>f,LNECL,,,28-02-2023,NA,167486,178016,17897,21123,70211.49,Done,,pending,Failure
386975,316,J9p@;xT_?!MH^HaRI,LNECL,28-02-2023,69444,28-02-2023,NA,154142,7462,156579,357135,10193.66,Done,,pending,Failure
375364,13,C^jt3JSn2wXsY>c`Q,LNECL,,,28-02-2023,NA,216969,128688,357138,357138,0,Done,,pending,Normal_Interest_Is_Zero
387829,3527,AZtt;u g<(X8hxT_Aw6 Hk,LNECL,,,28-02-2023,NA,197376,267281,373074,329804,0,Done,,pending,Normal_Interest_Is_Zero
387494,3360,"HZfi3xT:5""XC\KTaEA5*",LNECL,,,28-02-2023,NA,344476,19343,36096,36096,54493.15,Done,0,Done,Done
386985,316,CZc@6 Ra.R^=X>3^FD>,LNECL,28-02-2023,16700,28-02-2023,NA,159488,159488,156579,357135,2368.09,Done,,pending,Failure
376966,87,FZve>JAo1{[G,LNECL,,,28-02-2023,NA,372958,368674,371342,371342,0,Done,,pending,Normal_Interest_Is_Zero
386995,3161,MbpsqsNn2%Z5iBb_>D,LNECL,28-02-2023,316667,28-02-2023,NA,170092,52397,50156,50156,53564.34,Done,,pending,Failure
387145,324,BZms:kY:8!UH5BaUF9,LNECL,,,28-02-2023,NA,129101,347063,195917,195917,46469.75,Done,,pending,Failure
387235,3255,@cio>n q<%WG,LNECL,,,28-02-2023,NA,146008,52541,43745,43745,79777.28,Done,,pending,Failure
379053,1165,7kkeEJCi;'M=c>e1Q=D$LfkgfD:yzD>9,LNECL,,,28-02-2023,153396,178074,9337,24526,386667,0,Done,,pending,Normal_Interest_Is_Zero
387305,3289,"7buhIkRs.Rb=\GT_|=6,FY~d6B%qzK980Gma",LNECL,,,28-02-2023,NA,128598,17500,116665,116665,476784.84,Done,,pending,Failure
375997,43,F^iaE S:6!X5c=3TLFFwLfomf8)uJLiE=VG(ZE:N,LNECL,,,28-02-2023,NA,97891,47326,153576,153576,25925.34,Done,,pending,Done
380873,1526,"Iatiq}HcCs_<VDgYFw3}UgJn,F:n>=",LNECL,,,28-02-2023,112012,147849,101881,68151,68151,0,Done,,pending,Normal_Interest_Is_Zero
385468,2462,:9t@3 Til{Z8jLgcF=E,LNECL,28-02-2023,616666,28-02-2023,NA,361296,19793,386245,142339,82578.5,Done,,pending,Done
376246,48,Iate7|Agl'^5Y>ed,LNECL,,,28-02-2023,NA,332891,12993,350864,350864,121079.45,Done,,pending,Done
377100,90,"HhqtEJC[@',DgBiRQ=q#Leso,8",LNECL,,,28-02-2023,NA,144791,24838,265613,265613,0,Done,,pending,Normal_Interest_Is_Zero
387345,330,AZmaqpOi1R\Fd=hTQK,LNECL,,,28-02-2023,NA,193066,193066,64285,64285,14176.44,Done,,pending,Failure
387545,3378,9agn6kY[1RSFVG\eBKqVSjsq(H)EGA7>;G],LNECL,,,28-02-2023,NA,146008,42151,6612,4059,13903.19,Done,,pending,Failure
377160,93,@^gv3x n2~QGZKiZ@=EVSjsq(H)EGA7>;G],LNECL,,,28-02-2023,NA,41553,26197,80426,115767,0,Done,,pending,Normal_Interest_Is_Zero
378060,1164,7`noqzOfF QFhxcgQw>+G,LNECL,,,28-02-2023,NA,33851,354971,193739,197407,26490.96,Done,,pending,Done
376792,79,;fo@<kY:6!O,LNECL,,,,NA,204912,25393,111708,356642,,pending,,pending,No_Interest_Payment_Due
376801,79,Lbrr3JIh1(_HgBXd,LNECL,,,28-02-2023,NA,347828,25393,111708,356642,0,Done,,pending,Normal_Interest_Is_Zero
376796,79,Lbrr3JIh1(_HgBXd,LNECL,28-02-2023,83300,28-02-2023,NA,347828,25393,111708,356642,5916.76,Done,,pending,Done
387575,3396,7igxq$Al;R\Jix_eA&,LNECL,,,28-02-2023,NA,162470,12141,197653,197653,159587.28,Done,,pending,Failure
377284,1014,:kga?JTiBuT,LNECL,,,28-02-2023,NA,348756,174526,19721,328527,0,Done,,pending,Normal_Interest_Is_Zero
400466,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,28-02-2023,NA,173693,94181,14781,354392,0.14,Done,0,Done,Normal_Interest_Is_Zero
376207,47,Inp@ErIh2R`9mxVcB9F Rf,LNECL,,,28-02-2023,NA,197918,136072,356706,356706,53487.12,Done,,pending,Done
375699,39,7]Bi@nUmA%U5axX_Q=D'Ua}`:,LNECL,,,28-02-2023,NA,210525,197476,142339,235347,28453.86,Done,,pending,Done
378982,1165,7Ztg7o mAsR:^GZ1P=D-L[onfD6nQ9>:fNbUWE;d,LNECL,,,28-02-2023,29162,154753,29162,12712,108377,0,Done,,pending,Normal_Interest_Is_Zero
392176,3668,Eivi8vUrl#UDZx\_AME+Uaon,LNPLS,28-02-2023,312500,28-02-2023,180924,157349,60026,374069,13351,92839.6,Done,309.4,Done,Done
379546,1242,"H^gn3JM_0zMB^<T]PwB)Lnko,s0nHA>:+",LNECL,28-02-2023,63500,28-02-2023,NA,204368,17963,64285,64285,8042.47,Done,,pending,Done
380053,135,>Zts:kD:=sO?l>_]|HH+#d~_,LNECL,,,28-02-2023,182953,136025,96140,360412,31468,0,Done,,pending,Normal_Interest_Is_Zero
377063,90,"IZdaDs ]<!_HgNVeFG@*#lo^/B3qJ?3::""i(Z:Cit,D",LNECL,28-02-2023,611111,28-02-2023,NA,136020,79080,265613,265613,103650.09,Done,,pending,Done
387604,341,Imto@q j9sZH5BaWO9E+Ummo<F)EKN>t3V],LNECL,,,28-02-2023,NA,199796,199796,679,204531,159284.52,Done,189.37,Done,Done
376557,66,"BZnsqsMj2+,DgBiRQ=q#Leso,8",LNECL,28-02-2023,266666,28-02-2023,NA,169924,25393,111708,356642,38416.52,Done,,pending,Done
398148,258,I^{a6  \2wP=5<b^M9@0,LNSTL,28-02-2023,700000,28-02-2023,NA,35632,6542,29664,391538,143426.4,Done,,pending,Done
378122,1164,D^rtGxE:6&\5ixccFN3+H8vd4=8j?,LNECL,,,28-02-2023,NA,176484,176484,334766,322056,201078.23,Done,,pending,Done
376324,55,Fkct:kM:6!`9gGTeFG@wO,LNECL,28-02-2023,833333,28-02-2023,NA,344443,97876,4969,393196,136822.9,Done,,pending,Done
394997,1165,"Jag@DkIfDsesZFc]LQ7{V?J^6!3u@J+I0X^(QC;di; ?B:* i-kp5w""90'",LNSTL,,,28-02-2023,NA,319751,6542,7030,346432,523330.5,Done,0,Done,Done
377110,90,Ibot3JM[;(R5XMhcFF9VFgwk(B=,LNECL,,,28-02-2023,NA,332287,42555,88866,88866,0,Done,,pending,Normal_Interest_Is_Zero
379370,1192,"A9v@E~E_9&,5c=3TBE7%W",LNECL,,,28-02-2023,137708,146008,42151,369003,46280,0,Done,,pending,Normal_Interest_Is_Zero
376930,87,7fkr3t j9s_H^<3ZK<G*Wjs`:,LNECL,28-02-2023,183333,28-02-2023,NA,141863,261071,347895,347895,27079.38,Done,,pending,Done
377271,1008,HZfh3JKl6&T5cxY`RF6)\,LNECL,,,28-02-2023,153271,212028,22471,374147,374147,0,Done,,pending,Normal_Interest_Is_Zero
377111,90,:^xiq~Hl2sPseKbTBKE&UkJk9=:fO=iA0Ob\S5,LNECL,,,28-02-2023,NA,126804,42555,152202,152202,83504.11,Done,,pending,Done
376987,87,"MbpgEJAa?"",DgBiRQ=q#Leso,8",LNECL,,,28-02-2023,NA,156591,14175,371342,371342,227546.71,Done,,pending,Done
387714,347,IkgeqzA^:sZ5WAT1OA5{#esg3,LNECL,,,28-02-2023,235428,146008,42151,369003,46280,47541.47,Done,27.4,Done,Done
377256,1007,IGtNqoNn2%\F^LXd,LNECL,,,28-02-2023,NA,194331,193493,342875,23251,0,Done,,pending,Normal_Interest_Is_Zero
377196,95,IatiqxAn5RV=5MefPL,LNECL,,,28-02-2023,133401,165209,53213,148446,378530,0,Done,,pending,Normal_Interest_Is_Zero
395017,1165,"Jag@DkIfDsesZFc]LQ7{V?J^6!3u@J+I0X^(QC;di; ?B:* i-kp5w""90'",LNSTL,,,28-02-2023,NA,319751,6542,7030,346432,537666.38,Done,0,Done,Done
380885,153,F^gM6oE:C{Z=nHZ1MNFVOln,LNECL,,,28-02-2023,,,,,,,pending,,pending,Cust_Email_Is_Blank
381145,1530,8Zna<s n?sP=c@3TL,LNECL,,,28-02-2023,NA,105093,152424,388664,190553,0,Done,,pending,Normal_Interest_Is_Zero
375664,39,"LZks:xO:6!PIhMeZBKq'Ua!\;9cqDE3I,F",LNECL,28-02-2023,252361,28-02-2023,NA,198066,NA,142339,235347,34442.12,Done,,pending,Done
377335,1026,8`Ba@n m<!_,LNECL,28-02-2023,32000,28-02-2023,NA,324885,173713,195917,195917,4712.43,Done,,pending,Done
378126,1164,D^q@5kR\<!_seK\g>L7VOawd;9(,LNECL,,,28-02-2023,NA,344383,50545,14781,354392,0,Done,,pending,Normal_Interest_Is_Zero
399479,723,"8^utqzOq2%,9fN\aJ=@+V8Rd58-f$w:K;""e\R",LNSTL,28-02-2023,267800,28-02-2023,NA,373676,1645,378530,378530,118032.53,Done,0,Done,Done
376630,69,BZkl3JHiAwXG5:aU|J7*Rj~nfD6nQ9>:fNbUWE;d,LNECL,,,28-02-2023,NA,192877,21314,386964,386964,713972.6,Done,,pending,Done
377033,90,Ibot3JM[0zUBZKl1MJ;-Dlo;3=1nO=.,LNECL,,,,NA,207553,332287,88866,88866,,pending,,pending,No_Interest_Payment_Due
378516,1164,">bnl?kN:5""_=ZKl1JA>#V8zm0J%y@w6>4KmMR",LNECL,,,28-02-2023,NA,21733,168423,154495,374839,0,Done,,pending,Normal_Interest_Is_Zero
377363,1030,IZjiFrI:=zMFb:,LNECL,,,28-02-2023,NA,117614,16050,348267,348267,20989.73,Done,,pending,Done
386868,309,8Zna<s bF(Z8VB3RRLAVSn~;3H(,LNECL,28-02-2023,833333,28-02-2023,NA,163037,7462,102892,102892,0,Done,,pending,Normal_Interest_Is_Zero
375439,19,"LZutGzRcFs,7d:gZK?EVSn~;3H(",LNECL,28-02-2023,9900,28-02-2023,179353,149520,19618,84950,327379,1525.22,Done,,pending,Done
376456,61,D^ve>J(c;vU5>x_ZJAF{G,LNECL,28-02-2023,216611.11,28-02-2023,NA,348047,348047,9216,329799,30462.94,Done,,pending,Done
378910,1165,"7eu@F Tc0""^=cxgVOE;%DdJk=HcqO<",LNECL,28-02-2023,1039000,28-02-2023,NA,115171,150963,390237,345754,157600.53,Done,,pending,Done
393100,70,8[o@7}T[Aw_seK\g>L7VOawd;9(,LNPRT,,,28-02-2023,NA,21314,17485,74634,74634,5991632.16,Done,0,Done,Done
392180,369,"IacnFs i6~\5aF3ZK<G*Wjs`:s4wDN+I,""eQ[:Jed",LNPLS,,,28-02-2023,NA,264337,148597,18067,18067,27957.67,Done,0,Done,Done
376752,76,LZlr3JCi9~Q7iBb_P,LNECL,,,28-02-2023,181620,191555,102947,183584,183584,0,Done,,pending,Normal_Interest_Is_Zero
376081,46,"8^utq|E[1,,A^Q31@G@yU]~`:",LNECL,,,28-02-2023,38864,180421,152044,199030,199030,0,Done,,pending,Normal_Interest_Is_Zero
377011,89,"Ikk@<kY[7""`<^xT_Aw5&Phki@s4wDN+I,""eQ[:Jed",LNECL,,,28-02-2023,NA,319751,6542,22400,22400,126187.95,Done,,pending,Done
376304,53,"IataIkSn5{,5\KbeB;:VSn~;3H(",LNECL,,,28-02-2023,NA,316597,20847,385075,385075,0,Done,,pending,Normal_Interest_Is_Zero
399629,832,A9f@3 Ti0s^95IeZS9F{#dsh0H)i,LNSTL,,,28-02-2023,NA,19889,NA,374069,13351,38260.27,Done,13.7,Done,Done
397078,1634,Fkcs3n m2wPG5IeZS9F{#dsh0H)i,LNSTL,,,28-02-2023,NA,5719,21661,22134,21383,284130.81,Done,,pending,Done
376014,43,7`to:k _;'QFeK\dBKq'YlJg;8,LNECL,,,28-02-2023,NA,352424,94756,376831,376831,102589.32,Done,,pending,Done
375866,42,FZtm7}Hq.%UshB_\|E;#OkJ;3=1nO=.,LNECL,,,28-02-2023,NA,322460,18463,338092,121528,0,Done,,pending,Normal_Interest_Is_Zero
397258,1636,9Ztr3|O:6!P=VxcgQw>+G,LNSTL,,,28-02-2023,NA,174708,15388,44091,37978,162054.79,Done,,pending,Done
383948,1813,Fkkm7JIh1(_HgBXd,LNECL,,,28-02-2023,NA,204912,164401,4969,393196,61707.85,Done,,pending,Done
377197,95,CZpg3v nF%QG,LNECL,,,28-02-2023,NA,175924,33900,148446,378530,0,Done,,pending,Normal_Interest_Is_Zero
393197,129,CZleFrI[l}MG]RTa|B;+Hfnm(,LNPRT,28-02-2023,505000,28-02-2023,,,,,,0,Done,0,Done,Cust_Email_Is_Blank
377367,1033,IZxiqpU_9&,LNECL,,,28-02-2023,NA,197934,197934,36096,169260,0,Done,,pending,Normal_Interest_Is_Zero
375767,42,9^pt7# c;'QFc:gZLF3##h!of@8i,LNECL,,,28-02-2023,NA,357458,357458,338092,121528,759114.23,Done,0,Done,Done
376293,50,ufBl3mHb:sZ8VL37|;A,LNECL,,,28-02-2023,190946,13595,13595,84950,327379,0,Done,,pending,Normal_Interest_Is_Zero
377253,1006,Igu@5yRj<%MH^Ha,LNECL,,,28-02-2023,NA,126453,40868,18118,350703,68464.38,Done,,pending,Done
377246,1005,IatiqtAsltTIiGTeEwF)Df}k6F8E>Gw,LNECL,,,28-02-2023,149251,151954,51305,235828,39674,0,Done,,pending,Normal_Interest_Is_Zero
387138,324,8^fiq}T_2~_seK\g>L7VOawd;9(,LNECL,28-02-2023,389390,28-02-2023,NA,324885,7928,338092,205509,61329.96,Done,,pending,Done
379080,1165,Cfe@6yOlAwO<5LXcSA5{V8zq;s0nHA>:+,LNECL,,,28-02-2023,NA,178074,328835,24526,386667,0,Done,,pending,Normal_Interest_Is_Zero
375332,13,@9m@7xT_?#^=h>f,LNECL,28-02-2023,76388,28-02-2023,NA,383358,383358,9390,9390,11004.82,Done,,pending,Done
379543,124,HZju>JDc@'^=WNg`OKq'YlJg;8,LNECL,,,28-02-2023,186918,186918,186918,27234,338077,73428.32,Done,,pending,Done
378653,1164,;lmaKJVc1w[seK\g>L7VOawd;9(,LNECL,28-02-2023,400000,28-02-2023,NA,12927,12927,334766,322056,54591.78,Done,,pending,Done
377283,1014,A9uuDtInlwZHZKccFK7*,LNECL,28-02-2023,83333,28-02-2023,185038,194331,193493,19721,328527,14874.48,Done,,pending,Done
376900,86,>^oa@qI:2!`9gIeZP=E,LNECL,,,28-02-2023,NA,260632,4798,378324,378324,0,Done,,pending,Normal_Interest_Is_Zero
383718,1748,<^trAwArlx[Ic=eZBKq Q\s\fD6nQ9>:fNbUWE;d,LNECL,,,28-02-2023,NA,306678,46212,88866,88866,117460.35,Done,13.52,Done,Done
378145,1164,IgghqmOg=%UBixcgQw> Pa~`+,LNECL,,,,NA,174085,21733,193739,197407,,pending,,pending,No_Interest_Payment_Due
397558,1778,"IpcsFr `<""PHZ<[1FF6 D8zm0J%y@w6>4KmMR",LNSTL,,,28-02-2023,NA,325759,23525,70493,70493,376403.65,Done,,pending,Done
384178,188,IZvaDk l<~X9gxY]LMDVPavg:s4{Ow6I+,LNECL,,,28-02-2023,NA,46045,354379,360412,31468,76305.48,Done,,pending,Done
379241,1167,H^ne?kC:AwO<cH_`DA7*#h|d=58jzD3B0V^L,LNECL,28-02-2023,325000,28-02-2023,NA,163929,135360,354653,354653,45793.84,Done,,pending,Done
400459,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,28-02-2023,NA,173693,94181,14781,354392,0.44,Done,0,Done,Normal_Interest_Is_Zero
373654,1530,FZei8sC[l#[KZK3aOG<{Fl}I,LI001,,,28-02-2023,NA,105093,3435,11836,85163,71957.38,Done,,pending,Done
376963,87,7fda@s `<!QG,LNECL,,,28-02-2023,301421,198204,51305,27770,27770,0,Done,,pending,Normal_Interest_Is_Zero
379143,1165,Anp@3oRil&\5X>3aOAHwW]Jg0A-y@<,LNECL,,,28-02-2023,NA,169019,144823,8098,390307,0,Done,,pending,Normal_Interest_Is_Zero
375383,13,FntiF$ `9wdDV<^1IL6,LNECL,,,28-02-2023,NA,334836,296387,354567,9390,73974.66,Done,,pending,Done
378527,1164,Fiu@FoA:=%UJVMX1IA? W]n,LNECL,,,28-02-2023,111016,111016,33851,47182,180716,0,Done,,pending,Normal_Interest_Is_Zero
392307,603,FZfm3tA:6!PIhMeZBK,LNPLS,28-02-2023,509000,28-02-2023,NA,206634,101122,34451,292379,156836.22,Done,1603.52,Done,Done
395027,1165,"Jag@DkIfDsesZFc]LQ7{V?J^6!3u@J+I0X^(QC;di; ?B:* i-kp5w""90'",LNSTL,,,28-02-2023,NA,319751,6542,7030,346432,460488.04,Done,0,Done,Done
400328,5140,"7en@8yRa2R2sX:fe|KA,U[o;0B(n<",LNTEQ,,,,NA,NA,NA,NA,NA,,pending,,pending,No_Interest_Payment_Due
400598,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,,NA,173693,94181,14781,354392,,pending,,pending,No_Interest_Payment_Due
400608,1164,Ibfh:s \6!MMVD3[BO7#O]|n,LNXAU,,,,NA,329242,12927,47182,180716,,pending,,pending,No_Interest_Payment_Due
375646,37,EfmaDJP_A%[@ZN`,LNECL,,,28-02-2023,NA,312546,8941,8941,329482,,pending,,pending,Normal_Interest_Is_Null
380806,151,Inoa@qAf6R_Mc=\T>L7,LNECL,,,28-02-2023,41078,148334,70055,326943,373161,0,Done,,pending,Normal_Interest_Is_Zero
400678,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,,NA,173693,94181,14781,354392,,pending,,pending,No_Interest_Payment_Due
400778,1541,Jbva@JCi:#MBnx_ZJAF{G,LNXAU,,,,NA,92116,258839,20812,328323,,pending,,pending,No_Interest_Payment_Due
400788,1541,Jbva@JCi:#MBnx_ZJAF{G,LNXAU,,,,NA,92116,258839,20812,328323,,pending,,pending,No_Interest_Payment_Due
376175,47,"Iate7tI:3""[85Ie`AM5+V",LNECL,,,28-02-2023,178678,148894,136072,342973,342973,0,Done,,pending,Normal_Interest_Is_Zero
377075,90,8bpd:  _;yUBZ>eZK?q Q\ n;F-jN,LNECL,,,28-02-2023,NA,377089,343493,88866,88866,0,Done,,pending,Normal_Interest_Is_Zero
379555,1242,D9v@ErEc8z,LNECL,,,28-02-2023,NA,263905,17963,64285,64285,0,Done,,pending,Normal_Interest_Is_Zero
377286,1014,HZoeEr j9s_H^<3YLME{,LNECL,,,28-02-2023,NA,16524,1383,19721,328527,0,Done,,pending,Normal_Interest_Is_Zero
400818,1634,F9oa@qAn?sYs_>jVID7)V8zm0J%y@w6>4KmMR,LNXAU,,,,NA,104608,21661,22134,21383,,pending,,pending,No_Interest_Payment_Due
377092,90,CHuNq}Rcl~M?dL[R|HA#\eomfD6nQ9>:fNbUWE;d,LNECL,,,28-02-2023,NA,208346,NA,265613,265613,0,Done,,pending,Normal_Interest_Is_Zero
375966,43,LbpaKkK:2!`9gIeZP=E,LNECL,,,28-02-2023,NA,97891,16281,387563,387563,37404.93,Done,,pending,Done
400798,1541,Jbva@JCi:#MBnx_ZJAF{G,LNXAU,,,,NA,92116,258839,20812,328323,0,Done,0,Done,No_Interest_Payment_Due
377370,1037,Chvh7| [4%UsZQc`OL,LNECL,28-02-2023,219000,28-02-2023,NA,198204,16744,371858,212878,29972.4,Done,,pending,Done
376922,87,"IZiaDJPi9,`9XAaZHw> Pa~`+",LNECL,28-02-2023,822222,28-02-2023,NA,207622,27241,367915,367915,115096.5,Done,,pending,Done
376076,46,InreDJSn<!QsYBT^LF6*,LNECL,,,28-02-2023,NA,159363,52541,43745,43745,0,Done,,pending,Normal_Interest_Is_Zero
377314,1022,Fhqr3x ]5sZ8g:3Y>J;&P,LNECL,,,28-02-2023,NA,129678,94756,375301,377900,26134.93,Done,,pending,Done
373664,1609,8awjqzOfF QFhxccFN3+H8vd4=8j?,LI001,28-02-2023,238000,28-02-2023,NA,361296,19793,19721,328527,117186.5,Done,,pending,Done
377247,1005,IZtj3x ]<!_HgNVeFG@VSn~;3H(,LNECL,,,28-02-2023,NA,146806,45181,235828,39674,0,Done,,pending,Normal_Interest_Is_Zero
379126,1165,O\j@>yGc@'U7hx\_AA3VSjsq(H)EGL.,LNECL,,,28-02-2023,NA,27391,18151,24526,386667,0,Done,,pending,Normal_Interest_Is_Zero
377303,1018,Bbvt>o [;yQ@hxXUR;3+Lgx\3s7t>A/I@,LNECL,,,28-02-2023,116196,128598,148597,348267,348267,0,Done,,pending,Normal_Interest_Is_Zero
377177,95,CZni=JE^BuMH^Ha1PG5 Hl$,LNECL,,,28-02-2023,NA,206762,193493,378530,18334,0,Done,,pending,Normal_Interest_Is_Zero
376387,57,"HZlaE~H[;RO5d:gZK?EV)8mc,A-h<D=",LNECL,28-02-2023,105600,28-02-2023,NA,347871,NA,374069,13351,14080.99,Done,,pending,Done
376523,64,7eBaLsZ:=~MGiBVd|HD YY~`f@-rDL/9,LNECL,28-02-2023,342420,28-02-2023,NA,5754,153635,373074,329804,76794.99,Done,,pending,Done
375705,39,Indh3}H:2!S=c>XcFF9,LNECL,,,28-02-2023,NA,198066,38234,235347,235347,0,Done,,pending,Normal_Interest_Is_Zero
378545,1164,Aie@?oDc0sXsXH_]B?7V)8rj:D-y<Di?(FZ^^FH,LNECL,,,28-02-2023,NA,175878,3604,378857,356628,0,Done,,pending,Normal_Interest_Is_Zero
378195,1164,"9bvyq~E[l|aBXM\`KwB)Lnko,s0nHA>:+",LNECL,28-02-2023,136000,28-02-2023,NA,50545,282117,105537,12953,24310.77,Done,,pending,Done
